KeyReleased,Key.f8,7.8557169
start
KeyPressed,Key.esc,7.9653524
KeyReleased,Key.esc,8.0614112
KeyPressed,r,8.2856965
KeyReleased,'r',8.3569404
KeyPressed,Key.enter,8.4451184
KeyReleased,Key.enter,8.5255371
KeyPressed,d,18.4532993
KeyPressed,w,18.7412602
KeyPressed,Key.shift,18.9010952
KeyReleased,'W',19.0776863
KeyPressed,W,19.4212352
KeyReleased,'W',19.7090374
KeyReleased,Key.shift,19.7409586
KeyReleased,'d',19.845122
KeyPressed,e,20.1730427
KeyReleased,'e',20.2772035
KeyPressed,e,22.0609954
KeyReleased,'e',22.1574601
KeyPressed,e,22.2531808
KeyReleased,'e',22.3654748
KeyPressed,Key.shift,23.8777267
KeyPressed,S,23.9018535
KeyPressed,D,24.0692098
KeyReleased,'S',24.2051656
KeyPressed,S,24.6214872
KeyReleased,'S',24.8691447
KeyPressed,Key.right,25.1651715
KeyPressed,Key.right,25.6651762
KeyPressed,Key.right,25.6980658
KeyPressed,Key.right,25.7320046
KeyPressed,Key.right,25.7650576
KeyPressed,Key.right,25.7980472
KeyPressed,Key.right,25.831003
KeyPressed,W,25.8452309
KeyReleased,Key.right,26.0132604
KeyReleased,'D',26.0293259
KeyPressed,D,26.413501
KeyReleased,'D',26.8773255
KeyPressed,D,27.0291039
KeyReleased,'D',27.2213154
KeyPressed,D,28.3892985
KeyReleased,'D',28.5409563
KeyReleased,Key.shift,29.2529956
KeyReleased,'w',29.3654547
KeyPressed,e,29.5413324
KeyReleased,'e',29.6375473
MouseMove,1489,744,30.9499992
MouseMove,1489,743,30.95098
MouseMove,1490,742,30.952121
MouseMove,1490,742,30.9531159
MouseMove,1491,741,30.9540731
MouseMove,1491,740,30.9549714
MouseMove,1492,740,30.9559536
MouseMove,1493,739,30.9568939
MouseMove,1493,738,30.9577413
MouseMove,1494,737,30.958607
MouseMove,1495,736,30.9597413
MouseMove,1495,735,30.9609936
MouseMove,1496,735,30.9622595
MouseMove,1496,734,30.9634863
MouseMove,1496,733,30.9646752
MouseMove,1497,731,30.9662716
MouseMove,1497,730,30.9675654
MouseMove,1498,730,30.9688096
MouseMove,1498,728,30.9702139
MouseMove,1499,726,30.9711029
MouseMove,1499,726,30.9719506
MouseMove,1499,725,30.9729127
MouseMove,1499,725,30.9738214
MouseMove,1500,724,30.9747652
MouseMove,1500,722,30.9759055
MouseMove,1500,721,30.9768627
MouseMove,1500,720,30.9782764
MouseMove,1500,720,30.9794724
MouseMove,1501,719,30.9805547
MouseMove,1501,718,30.9815478
MouseMove,1501,717,30.9826057
MouseMove,1501,716,30.9838307
MouseMove,1501,714,30.9849582
MouseMove,1501,713,30.9863197
MouseMove,1502,712,30.9874948
MouseMove,1502,711,30.9884449
MouseMove,1502,710,30.9895256
MouseMove,1502,709,30.990665
MouseMove,1502,706,30.9916739
MouseMove,1502,706,30.9926897
MouseMove,1502,705,30.9938757
MouseMove,1502,704,30.9951367
MouseMove,1502,703,30.9960519
MouseMove,1502,702,30.9969025
MouseMove,1502,701,30.9977094
MouseMove,1502,700,30.9985467
MouseMove,1502,699,30.9996877
MouseMove,1502,698,31.0009627
MouseMove,1502,697,31.0019459
MouseMove,1502,696,31.0032448
MouseMove,1502,695,31.0044194
MouseMove,1502,694,31.0054853
MouseMove,1502,693,31.0065665
MouseMove,1502,692,31.007541
MouseMove,1502,691,31.0083822
MouseMove,1502,690,31.0097333
